SOID,Dt,CustID,Gen,Ctry,Rgn,City,Grp,Prod,SubCat,Cat,Color,Qty,UPrice,ListUPrice,DiscPct,DiscAmount,UCost,Amount,Channel,Payment,ShipMode,Campaign,SalesRep,Segment,CustType,CustSince
50038,2022-01-01,CUST00439,F,Australia,Australia,Brisbane,Pacific,Sport-100 Helmet,Helmets,Accessories,Không,3,35,40.23,0.13,15.69,19.16,105,Đại lý,Thẻ,Tiêu chuẩn,Tết,Ngô Thị Nga,Thường,Cá nhân,2020
50038,2022-01-01,CUST00439,F,Australia,Australia,Brisbane,Pacific,Cycling Jersey,Jerseys,Clothing,Không,4,54,77.14,0.3,92.56,33.27,216,Đại lý,Thẻ,Tiêu chuẩn,Tết,Ngô Thị Nga,Thường,Cá nhân,2020
50134,2022-01-02,CUST00190,M,United States,Central,Denver,North America,Cycling Jersey,Jerseys,Clothing,Không,3,54,56.84,0.05,8.52,34.04,162,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Lê Văn Cường,VIP,Doanh nghiệp,2019
53311,2022-01-03,CUST00535,F,Canada,Canada,Toronto,North America,Cycling Cap,Caps,Clothing,Không,5,9,9.09,0.01,0.45,5.64,45,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Đỗ Thị Giang,Thường,Cá nhân,2019
53311,2022-01-03,CUST00535,F,Canada,Canada,Toronto,North America,Water Bottle 30oz,Bottles,Accessories,Không,2,5,5.21,0.04,0.42,2.79,10,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Đỗ Thị Giang,Thường,Cá nhân,2019
52165,2022-01-05,CUST00830,F,Canada,Canada,Montreal,North America,Mountain-200 Black,Mountain Bikes,Bikes,Black,1,2295,2833.33,0.19,538.33,1322.91,2295,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Đỗ Thị Giang,Thường,Cá nhân,2023
52165,2022-01-05,CUST00830,F,Canada,Canada,Montreal,North America,Sport-100 Helmet,Helmets,Accessories,Không,3,35,39.77,0.12,14.31,19.51,105,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Đỗ Thị Giang,Thường,Cá nhân,2023
50505,2022-01-07,CUST00296,M,France,France,Marseille,Europe,Road-150 Red,Road Bikes,Bikes,Red,1,3578,4310.84,0.17,732.84,3033.49,3578,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Bùi Thị Lan,VIP,Doanh nghiệp,2023
50505,2022-01-07,CUST00296,M,France,France,Marseille,Europe,Cycling Cap,Caps,Clothing,Không,5,9,10.84,0.17,9.2,5.51,45,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Bùi Thị Lan,VIP,Doanh nghiệp,2023
52466,2022-01-07,CUST00749,F,United States,Southeast,Orlando,North America,Water Bottle 30oz,Bottles,Accessories,Không,5,5,5.38,0.07,1.9,2.72,25,Online,Thẻ,Tiêu chuẩn,Tết,Hoàng Văn Em,Thường,Cá nhân,2018
52924,2022-01-07,CUST00800,F,Canada,Canada,Toronto,North America,Cycling Jersey,Jerseys,Clothing,Không,2,54,58.06,0.07,8.12,33.22,108,Online,Thẻ,Giao nhanh,Tết,Đỗ Thị Giang,Thường,Cá nhân,2023
52924,2022-01-07,CUST00800,F,Canada,Canada,Toronto,North America,Front Brakes,Brakes,Components,Không,1,107,116.3,0.08,9.3,63.97,107,Online,Thẻ,Giao nhanh,Tết,Đỗ Thị Giang,Thường,Cá nhân,2023
53081,2022-01-07,CUST00777,M,France,France,Marseille,Europe,Minipump,Pumps,Accessories,Không,1,25,29.76,0.16,4.76,13.68,25,Đại lý,Thẻ,Tiêu chuẩn,Tết,Bùi Thị Lan,Thường,Cá nhân,2023
53656,2022-01-07,CUST00627,F,United States,Northwest,Seattle,North America,Front Brakes,Brakes,Components,Không,1,107,125.88,0.15,18.88,64.14,107,Đại lý,Thẻ,Tiêu chuẩn,Tết,Nguyễn Văn An,Thường,Cá nhân,2018
50549,2022-01-09,CUST00435,M,United Kingdom,United Kingdom,Birmingham,Europe,Patch Kit,Tires,Accessories,Không,5,2,2.22,0.1,1.1,1.11,10,Online,Thẻ,Giao nhanh,Tết,Vũ Văn Hải,Thường,Doanh nghiệp,2020
50711,2022-01-10,CUST00159,F,United States,Central,Denver,North America,Road-150 Red,Road Bikes,Bikes,Red,1,3578,4901.37,0.27,1323.37,2990.82,3578,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2019
50711,2022-01-10,CUST00159,F,United States,Central,Denver,North America,Sport-100 Helmet,Helmets,Accessories,Không,1,35,44.3,0.21,9.3,19.3,35,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2019
51733,2022-01-10,CUST00542,F,Germany,Germany,Hamburg,Europe,Cycling Jersey,Jerseys,Clothing,Không,4,54,62.07,0.13,32.28,33.81,216,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Đặng Văn Minh,Thường,Cá nhân,2018
